"SYMBOL","ENTREZID"
"F25H8.2","177848"
"npp-9","175443"
"sao-1","3565237"
"cogc-2","177473"
"hil-3","181073"
"bath-42","176152"
"apm-3","186194"
"lbp-4","179161"
"rpn-9","174715"
"agl-1","175091"
"pak-1","180873"
"taf-5","172552"
"kpc-1","173051"
"spr-4","172596"
"panl-3","176391"
"ttr-52","184363"
"cdk-11.1","174244"
"Y53G8AR.6","175432"
"gtf-2E2","174765"
"F55A11.1","179610"
"npp-13","171774"
"C54D10.13","6418712"
"rrp-8","176864"
"C14H10.2","181234"
"cyb-1","177965"
"C01G6.4","182077"
"hpo-13","173305"
"F11C1.1","184341"
"T05G5.5","176375"
"Y73F8A.13","190675"
"ruvb-2","177458"
"lrp-2","171981"
"plk-1","176143"
"hsp-75","176019"
"R08B4.3","181301"
"aha-1","172889"
"sax-2","175697"
"fnci-1","189113"
"rpn-7","177753"
"bec-1","177345"
"Y67H2A.10","259340"
"tmed-3","172372"
"F31D5.6","185153"
"cdk-8","172677"
"rsbp-1","172729"
"gana-1","179660"
"Y79H2A.3","176638"
"ZK973.11","172039"
"mif-1","176615"
"mcm-7","178831"
"F18C12.3","172595"
"glit-1","180747"
"dcap-2","178321"
"lgl-1","180435"
"F10D11.2","172633"
"ZK1053.4","173188"
"paqr-2","175739"
"fat-1","178291"
"rab-7","174834"
"elt-7","178868"
"pcyt-1","181021"
"unc-51","180311"
"F37H8.5","3564874"
"klo-1","177557"
"F16B12.6","181520"
"cdc-25.2","178645"
"pro-3","180256"
"pct-1","177615"
"ctf-18","177879"
"Y37E3.1","171762"
"F31E8.4","174118"
"ZC204.12","173536"
"ZK1073.1","181689"
"map-2","178468"
"flh-2","175670"
"set-2","175662"
"W08E12.7","177097"
"Y45G5AL.1","178814"
"C15C6.3","182630"
"gsr-1","175467"
"eif-2alpha","171769"
"rbm-5","172312"
"xrn-1","175059"
"T24B8.7","174440"
"his-57","178056"
"dcap-1","176924"
"mob-4","176158"
"wht-2","178069"
"acl-14","179313"
"dnpp-1","175822"
"rme-8","172594"
"F44E2.9","176247"
"dcr-1","176138"
"cisd-3.2","175307"
"K02E10.6","186891"
"bmk-1","179948"
"B0250.5","180344"
"F28B4.4","180610"
"rsd-2","178322"
"Y17G7B.21","259466"
"dnj-16","175540"
"T24H10.1","174450"
"gei-8","176145"
"sfa-1","178486"
"R11H6.5","179965"
"taf-12","176617"
"cyp-25A3","4363046"
"ard-1","178016"
"lmtr-3","259649"
"W01A11.1","179036"
"his-68","172860"
"npp-1","177836"
"hint-1","184760"
"nonu-1","184951"
"pigx-1","180462"
"gfat-1","174778"
"gbh-2","174358"
"sex-1","181231"
"nfs-1","172979"
"cyk-1","175983"
"sams-5","177389"
"aakb-2","176552"
"mcd-1","175040"
"F46C8.3","181011"
"dhhc-4","191420"
"F38B7.3","179585"
"rpom-1","173317"
"his-67","188792"
"rab-14","181649"
"wbp-2","174477"
"C29F7.3","181464"
"Y108G3AL.2","178546"
"pat-4","175175"
"vrk-1","174004"
"ecps-1","176464"
"hpo-10","175829"
"vps-51","172247"
"Y71H2AM.29","36805069"
"scc-3","179749"
"R12C12.6","187840"
"dhhc-10","180745"
"cogc-8","176841"
"B0286.1","173774"
"Y82E9BR.17","259490"
"taf-10","3564983"
"cul-4","174198"
"fzo-1","173990"
"rga-9","353411"
"Y42H9AR.4","3565368"
"apm-1","172180"
"nhr-232","179426"
"metl-1","174753"
"F25B5.5","175841"
"tbc-14","174986"
"R11H6.2","179964"
"T19D7.6","188606"
"npp-11","171954"
"npp-25","189617"
"clh-5","174449"
"cni-1","179801"
"mig-1","171677"
"nhr-84","191731"
"rbm-26","175800"
"rad-23","174785"
"C14A4.7","174635"
"athp-2","173769"
"xrep-4","172218"
"Y41D4B.14","176967"
"cht-4","189507"
"rbx-2","172344"
"acl-12","181001"
"aatf-1","171723"
"bath-10","173680"
"hpl-2","176506"
"vps-22","175672"
"F48E8.3","175751"
"sna-2","177816"
"leo-1","178052"
"R148.3","175423"
