transcript	cell_stage	.y.	group1	group2	n1	n2	statistic	df	p	p.adj	p.adj.signif
car-1	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-12.4827779609852	8.18083832958582	1.3e-06	1.83214285714286e-05	****
car-1	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	1.26667447495492	8.47392885248606	0.239	0.321297169811321	ns
car-1	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	13.330404603437	7.12662583816536	2.68e-06	2.82888888888889e-05	****
cgh-1	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	4.23479379874277	12.3225482050864	0.001	0.00327586206896552	**
cgh-1	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	7	-0.656823232673262	12.5754324999544	0.523	0.615740740740741	ns
cgh-1	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	7	-4.6810527113763	10.1002727665202	0.000843	0.00327586206896552	**
cgh-1	4-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	2.91641231477949	7.7141846985646	0.02	0.0435114503816794	*
cgh-1	4-cell	total_no_RNA	spn4_plus	spn4_wt	8	9	-1.76463517752446	14.535283577167	0.099	0.164040697674419	ns
cgh-1	4-cell	total_no_RNA	spn4_minus	spn4_wt	8	9	-5.8099436066239	9.01480381477048	0.000255	0.00137122641509434	**
cgh-1	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	8	7	4.24692747822001	11.9601309121326	0.001	0.00327586206896552	**
cgh-1	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	-0.287031203456411	11.7910290079387	0.779	0.834642857142857	ns
cgh-1	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	7	8	-5.10323548466041	8.94744509666639	0.000654	0.00295857142857143	**
cgh-1	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	7	9	0.325056860648028	10.3270932061468	0.752	0.81490494296578	ns
cgh-1	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	7	8	-1.47078320468835	12.7203463957438	0.166	0.242615384615385	ns
cgh-1	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	9	8	-2.14007146096253	12.4131533400798	0.053	0.0987254901960784	ns
cgh-1	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-2.02796489235273	9.75609280967725	0.071	0.123384146341463	ns
cgh-1	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	-0.0763560581798137	13.9832803250209	0.94	0.957074468085106	ns
cgh-1	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	1.87299215779954	9.58535150547788	0.092	0.155147928994083	ns
chs-1	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-11.1060983175011	13.144884624169	4.71e-08	2.6847e-06	****
chs-1	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	3.96857941655589	8.73912244640615	0.003	0.00872448979591837	**
chs-1	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	21.4896165042948	9.84792708988073	1.33e-09	1.89525e-07	****
chs-1	4-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-9.06068821168378	7.47067991100474	2.73e-05	0.00020475	***
chs-1	4-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	5.14577529047085	8.9244514831931	0.000623	0.00286379032258065	**
chs-1	4-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	10.195929335905	7.0660443572559	1.77e-05	0.000150044117647059	***
chs-1	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-13.9464504376545	7.22158164246352	1.75e-06	2.0064e-05	****
chs-1	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	8	9	4.758862615195	8.47866287605944	0.001	0.00327586206896552	**
chs-1	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	8	9	14.673803304508	7.02348588923702	1.58e-06	2.0064e-05	****
chs-1	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-15.8568880515307	7.06421612113331	8.8e-07	1.5675e-05	****
chs-1	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	4.35789432674719	7.63735449818285	0.003	0.00872448979591837	**
chs-1	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	16.1933245822574	7.00292960533372	8.3e-07	1.5675e-05	****
chs-1	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-20.1720741391068	7.05235429508541	1.69e-07	6.01090909090909e-06	****
chs-1	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	3.8344335824664	8.95434477596217	0.004	0.0110679611650485	*
chs-1	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	20.4549391029649	7.00745681229372	1.65e-07	6.01090909090909e-06	****
cpg-2	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	1.16401017915751	13.6770015494835	0.264	0.351588785046729	ns
cpg-2	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	3.51485342207445	13.814018099544	0.004	0.0110679611650485	*
cpg-2	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	2.65729462098136	13.0814783033291	0.02	0.0435114503816794	*
cpg-2	4-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-4.5857096428193	13.4040009208497	0.000473	0.00230898305084746	**
cpg-2	4-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	4.46954503681695	12.0731338828087	0.000755	0.00316433823529412	**
cpg-2	4-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	9.02298843349333	10.6309974094926	2.62e-06	2.82888888888889e-05	****
